cluster_id	preliminary_celltype	confidence	suspicious_flag	suspicious_reason	top_markers
"0"	NA	NA	NA	NA	"CTLA4, CD40LG, MAL, TNFRSF4, CCR7, LEF1, TRABD2A, PRKCQ-AS1, TNFRSF25, CD28"
"1"	NA	NA	NA	NA	"CD8A, GZMK, CD8B, CXCR6, LAG3, CCL5, THEMIS, CXCR3, AC092580.4, CD2"
"10"	NA	NA	NA	NA	NA
"11"	NA	NA	NA	NA	"FCN1, CD36, CFP, MPEG1, DUSP6, AP1S2, CPVL, FGL2, CSTA, POU2F2"
"12"	NA	NA	NA	NA	"FGFBP2, KLRF1, S1PR5, KLRD1, PRF1, FCRL6, SH2D1B, NKG7, TBX21, NCR1"
"13"	NA	NA	NA	NA	NA
"14"	NA	NA	NA	NA	"RP11-731F5.2, LINC00582, FAM92B, DERL3, MZB1, IGJ, CLDN14, AMPD1, RP11-16E12.2, JSRP1"
"15"	NA	NA	NA	NA	"PAX5, MS4A1, RP11-693J15.5, VPREB3, CTA-250D10.23, TCL1A, FCRL1, CD19, FCER2, LINC00926"
"16"	NA	NA	NA	NA	NA
"17"	NA	NA	NA	NA	NA
"18"	NA	NA	NA	NA	"APOC1, PLA2G7, TREM2, APOE, CYP27A1, LIPA, ACP5, GPNMB, MS4A4A, HLA-DRB5"
"19"	NA	NA	NA	NA	NA
"2"	NA	NA	NA	NA	"CCL13, IGSF21, FOLR2, C1QC, MRC1, LILRB5, GLDN, C1QB, MRC1L1, C1QA"
"20"	NA	NA	NA	NA	NA
"21"	NA	NA	NA	NA	NA
"22"	NA	NA	NA	NA	NA
"23"	NA	NA	NA	NA	"COL12A1, COL5A2, COL6A1, COL1A1, POSTN, COL3A1, COL1A2, COL6A3, COL5A1, SPARC"
"24"	NA	NA	NA	NA	"CELA2B, CELA2A, PNLIP, CELA3B, AMY2A, CPA1, PLA2G1B, CTRB1, CTRC, SYCN"
"25"	NA	NA	NA	NA	"NKG7, GNLY, GIMAP7, GZMA, PCSK7, CCL5, CMC1, PTPRCAP, CST7, CD3D"
"26"	NA	NA	NA	NA	NA
"27"	NA	NA	NA	NA	NA
"28"	NA	NA	NA	NA	"IGLL5, AL928768.3, IGJ, TNFRSF17, FCRL5, POU2AF1, MZB1, PKHD1L1, TXNDC5, RP11-290F5.1"
"29"	NA	NA	NA	NA	NA
"3"	NA	NA	NA	NA	"ALPL, DEFA3, CXCR2, LINC01001, PROK2, CXCR1, CMTM2, MGAM, KCNJ2, S100A8"
"30"	NA	NA	NA	NA	NA
"31"	NA	NA	NA	NA	NA
"4"	NA	NA	NA	NA	"CLDN10, TM4SF4, PIGR, MSLN, DEFB1, ANXA4, MMP7, TMEM54, TMEM238, SLC40A1"
"5"	NA	NA	NA	NA	NA
"6"	NA	NA	NA	NA	"IL8, LUCAT1, 7SK.2, CYP4F3, PHACTR1, IL1R2, CSF3R, PTGS2, LRRK2, NABP1"
"7"	NA	NA	NA	NA	"SLAMF9, AGRP, PLIN2, ANGPTL4, SPP1, ADSSL1, IL4I1, CD109, DFNA5, CTSL"
"8"	NA	NA	NA	NA	NA
"9"	NA	NA	NA	NA	"TPSAB1, CPA3, MS4A2, RP11-354E11.2, CTSG, SVOPL, SLC18A2, CDK15, IL1RL1, KIT"
